order_index;Unnamed: 0;Phase;Pilares;Recommendation;"Associated 
AWS Service";Guidance for assessments;How to check;SMM Link;Alignment to recommendation;Score;Comments;Normas Técnicas;Geral (Brasil);Finanças Públicas (BCB);Educação;Owner / Responsible;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36
42;3.3.2;Efficient;Control;Existe proteção de identidades para clientes/alunos (CIAM) sob lei local?;Amazon Cognito;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27701;"LGPD; MCI";IN BCB 305/2022;PL ECA Digital;;;;;;;;;;;;;;;;;;;;;;
43;3.4.1;Efficient;Control;Há detecção de ameaças customizada integrada a um SIEM ou Data Lake?;Amazon OpenSearch / S3;;;;25% Aligned - Partial Coverage - Starting;25%;;NIST CSF;LGPD;Res. BCB 70/2021;LGPD;;;;;;;;;;;;;;;;;;;;;;
44;3.5.1;Efficient;Compliance;"Existe um programa de ""Security Champions"" focado em soberania?";-;;;;25% Aligned - Partial Coverage - Starting;25%;;GSI/PR Normas;GSI/PR;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
45;3.5.2;Efficient;Compliance;A segurança e conformidade são automatizadas no pipeline (DevSecOps)?;AWS CodePipeline / LZA;;;;25% Aligned - Partial Coverage - Starting;25%;;GSI/PR Normas;GSI/PR;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
46;3.6.1;Efficient;Control;"Você utiliza um pipeline de imagens ""Golden"" devidamente endurecidas?";EC2 Image Builder;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;Res. BCB 498/2025;Res. BCB 498/2025;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
47;3.6.2;Efficient;Control;Há proteção ativa de runtime e anti-malware nas instâncias (EDR)?;AWS Marketplace / Agents;;;;25% Aligned - Partial Coverage - Starting;25%;;GSI/PR Normas;GSI/PR;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
48;3.6.3;Efficient;Control;Existe controle granular sobre o tráfego de saída (Egress Control)?;AWS Network Firewall;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;LGPD;Res. BCB 454/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
49;3.7.1;Efficient;Control;A criptografia em trânsito é obrigatória e padronizada com certificados?;AWS Certificate Manager;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27018;LGPD;IN BCB 305/2022;LGPD;;;;;;;;;;;;;;;;;;;;;;
50;3.8.1;Efficient;Control;Você realiza modelagem de ameaças (Threat Modeling) para novas arquiteturas?;-;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;LGPD (Design);Res. BCB 70/2021;LGPD;;;;;;;;;;;;;;;;;;;;;;
51;3.8.2;Efficient;Continuity;O WAF utiliza regras customizadas baseadas na localização geográfica?;AWS WAF;;;;25% Aligned - Partial Coverage - Starting;25%;;MCI Art. 3º;MCI Art. 3º;Res. BCB 498/2025;MCI;;;;;;;;;;;;;;;;;;;;;;
52;3.8.3;Efficient;Continuity;Existe mitigação de ataques DDoS avançados na camada de aplicação (L7)?;AWS Shield Advanced;;;;25% Aligned - Partial Coverage - Starting;25%;;MCI Art. 3º;MCI Art. 3º;Res. BCB 498/2025;MCI;;;;;;;;;;;;;;;;;;;;;;
53;3.9.1;Efficient;Continuity;São realizados exercícios de simulação (TableTop) para crises geopolíticas?;-;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 22301;LGPD Art. 50;Res. BCB 70/2021;LGPD;;;;;;;;;;;;;;;;;;;;;;
54;3.9.2;Efficient;Compliance;Respostas a incidentes críticos são automatizadas via playbooks?;AWS Systems Manager;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27031;LGPD Art. 48;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
55;3.9.3;Efficient;Compliance;Existe análise profunda de causa raiz (Root Cause) após incidentes?;Amazon Detective;;;;50% Aligned - Partial Coverage - Medium;50%;;ISO/IEC 27001;LGPD;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
56;3.10.1;Efficient;Continuity;O plano de Disaster Recovery (DRP) foi validado para sobrevivência regional?;AWS Elastic DR;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 22301;ISO 22301;Res. BCB 70/2021;ISO 22301;;;;;;;;;;;;;;;;;;;;;;
57;4.1.1;Optimized;Compliance;Existe uma matriz RACI clara compartilhada para tarefas de soberania?;-;;;;25% Aligned - Partial Coverage - Starting;25%;;COBIT 2019;LGPD;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
58;4.1.2;Optimized;Compliance;A coleta de evidências de auditoria é totalmente automatizada e contínua?;AWS Audit Manager;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;LGPD;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
59;4.3.1;Optimized;Control;Você implementou perímetros de dados para restringir acesso a identidades locais?;SCPs / VPC Endpoints;;;;25% Aligned - Partial Coverage - Starting;25%;;NIST SP 800-53;LGPD;Res. BCB 287/2023;LGPD;;;;;;;;;;;;;;;;;;;;;;
60;4.3.2;Optimized;Control;O gerenciamento de identidades (IAM) é feito via pipeline automatizado?;AWS CodePipeline / CDK;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;Res. BCB 498/2025;Res. BCB 498/2025;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
61;4.3.3;Optimized;Control;O acesso administrativo elevado é concedido apenas Just-in-Time (JIT)?;IAM Identity Center;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;LGPD;Res. BCB 498/2025;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
62;4.4.1;Optimized;Control;Existe integração com feeds de inteligência de ameaças setoriais/geopolíticas?;Amazon GuardDuty;;;;25% Aligned - Partial Coverage - Starting;25%;;GSI/PR Normas;GSI/PR;Res. BCB 70/2021;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
63;4.4.2;Optimized;Compliance;Os logs de fluxo de rede (VPC Flow Logs) são analisados automaticamente?;CloudWatch Logs / Athena;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;LGPD;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
64;4.5.1;Optimized;Compliance;Existe uma equipe dedicada para gestão estratégica de vulnerabilidades?;-;;;;25% Aligned - Partial Coverage - Starting;25%;;GSI/PR Normas;GSI/PR;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
65;4.6.1;Optimized;Control;O acesso é baseado em Zero Trust, independente da rede de origem?;AWS Verified Access;;;;25% Aligned - Partial Coverage - Starting;25%;;NIST SP 800-207;LGPD;IN BCB 305/2022;LGPD;;;;;;;;;;;;;;;;;;;;;;
66;4.6.2;Optimized;Control;Você utiliza serviços abstratos (Serverless) para reduzir dependência técnica?;AWS Lambda / Fargate;;;;25% Aligned - Partial Coverage - Starting;25%;;MCI;MCI Princípios;Res. BCB 454/2025;MCI;;;;;;;;;;;;;;;;;;;;;;
67;4.7.1;Optimized;Control;Existem controles de soberania específicos para dados usados em GenAI?;Amazon Bedrock / Macie;;;;25% Aligned - Partial Coverage - Starting;25%;;LGPD;LGPD;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
68;4.8.2;Optimized;Compliance;São realizados exercícios de Red Team para testar a soberania e defesas?;-;;;;25% Aligned - Partial Coverage - Starting;25%;;GSI/PR Normas;GSI/PR;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
69;4.9.1;Optimized;Compliance;Existe uma equipe de Blue Team para defesa ativa e resposta contínua?;-;;;;25% Aligned - Partial Coverage - Starting;25%;;GSI/PR Normas;GSI/PR;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
70;4.9.2;Optimized;Compliance;A segurança é orquestrada e integrada automaticamente aos tickets de TI?;AWS Systems Manager;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;Res. BCB 498/2025;Res. BCB 498/2025;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
71;4.9.3;Optimized;Control;Desvios de configuração soberana são corrigidos automaticamente?;AWS Config Remediation;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;LGPD;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
72;4.9.4;Optimized;Control;Você utiliza External Key Store (XKS) para manter chaves fora da nuvem?;AWS KMS (XKS);;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27002;LGPD;IN BCB 305/2022;LGPD;;;;;;;;;;;;;;;;;;;;;;
73;4.10.1;Optimized;Continuity;A orquestração da recuperação de desastres é totalmente automatizada?;AWS Resilience Hub;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 22301;ISO 22301;Res. BCB 70/2021;ISO 22301;;;;;;;;;;;;;;;;;;;;;;
74;4.10.2;Optimized;Continuity;A resiliência é testada via engenharia do caos para validar a sobrevivência?;AWS Fault Injection Service;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27031;ISO 27031;Res. BCB 70/2021;ISO 27031;;;;;;;;;;;;;;;;;;;;;;
